Topic,Time,ConsumerCount
topic_normal,12:08:55.051,126
topic_normal,12:08:55.556,127
topic_normal,12:08:56.068,128
topic_normal,12:08:56.569,129
topic_normal,12:08:57.073,130
topic_normal,12:08:57.575,131
topic_normal,12:09:03.604,132
topic_normal,12:09:04.110,133
topic_normal,12:09:04.614,134
topic_normal,12:09:05.116,135
topic_normal,12:09:05.622,136
topic_normal,12:09:06.131,137
topic_normal,12:09:06.631,138
topic_normal,12:09:07.138,139
topic_normal,12:09:07.641,140
topic_normal,12:09:08.142,141
topic_normal,12:09:08.645,142
topic_normal,12:09:13.675,143
topic_normal,12:09:14.182,144
topic_normal,12:09:14.692,145
topic_normal,12:09:15.194,146
topic_normal,12:09:15.704,147
topic_normal,12:09:16.205,148
topic_normal,12:09:16.707,149
topic_normal,12:09:17.210,150
topic_normal,12:09:17.712,151
topic_normal,12:09:18.216,152
topic_normal,12:09:18.719,153
topic_normal,12:09:23.249,154
topic_normal,12:09:23.753,155
topic_normal,12:09:24.257,156
topic_normal,12:09:24.768,157
topic_normal,12:09:25.269,158
topic_normal,12:09:25.776,159
topic_normal,12:09:26.281,160
topic_normal,12:09:26.785,161
topic_normal,12:09:27.288,162
topic_normal,12:09:27.799,163
topic_normal,12:09:28.300,164
topic_normal,12:09:33.327,165
topic_normal,12:09:33.837,166
topic_normal,12:09:34.346,167
topic_normal,12:09:34.847,168
topic_normal,12:09:35.355,169
topic_normal,12:09:35.862,170
topic_normal,12:09:36.371,171
topic_normal,12:09:36.874,172
topic_normal,12:09:37.380,173
topic_normal,12:09:37.884,174
topic_normal,12:09:38.394,175
topic_normal,12:09:42.918,176
topic_normal,12:09:43.421,177
topic_normal,12:09:43.925,178
topic_normal,12:09:44.434,179
topic_normal,12:09:44.935,180
topic_normal,12:09:45.439,181
topic_normal,12:09:45.947,182
topic_normal,12:09:46.450,183
topic_normal,12:09:46.954,184
topic_normal,12:09:47.455,185
topic_normal,12:09:47.964,186
topic_normal,12:09:51.484,187
topic_normal,12:09:51.993,188
topic_normal,12:09:52.494,189
topic_normal,12:09:53.004,190
topic_normal,12:09:53.507,191
topic_normal,12:09:54.016,192
topic_normal,12:09:54.523,193
topic_normal,12:09:55.026,194
topic_normal,12:09:59.557,195
topic_normal,12:10:00.059,196
topic_normal,12:10:00.562,197
topic_normal,12:10:01.069,198
topic_normal,12:10:01.571,199
topic_normal,12:10:02.074,200
